Datasets,Budget,ES,LC,MS,BADGE,BatchBALD,CoreSet,CALFD (Proposed)
FashionMNIST,1\%,0.6658,0.657,0.7032,0.7368,0.7529,0.8091,0.7701
,10\%,0.7824,0.7946,0.8254,0.8461,0.8523,0.8424,0.8715
,20\%,0.8229,0.8372,0.8502,0.8689,0.8672,0.8712,0.8848
CIFAR-10,1\%,0.3598,0.3799,0.3802,0.3761,0.3732,0.4209,0.4155
,10\%,0.6778,0.6854,0.6851,0.6719,0.6758,0.6899,0.6706
,20\%,0.7693,0.7664,0.7691,0.7647,0.7598,0.7595,0.7447
CIFAR-100,1\%,0.0796,0.0778,0.0885,0.0938,0.1907,0.2148,0.194
,10\%,0.2652,0.2817,0.2907,0.3485,0.4495,0.2971,0.4227
,20\%,0.373,0.3914,0.399,0.4075,0.5291,0.4895,0.5498
SVHN,1\%,0.3831,0.4359,0.4591,0.4648,0.4553,0.7122,0.7075
,10\%,0.8343,0.837,0.8428,0.8671,0.8433,0.8574,0.8772
,20\%,0.8738,0.8741,0.8792,0.8792,0.9125,0.8801,0.9023
