Datasets,Budget,ES,LC,MS,BADGE,BatchBALD,CoreSet,CALFD (Proposed)
FashionMNIST,1\%,0.6596,0.6505,0.6986,0.7301,0.7512,0.8055,0.7631
,10\%,0.7825,0.79,0.8242,0.8447,0.8521,0.8494,0.87
,20\%,0.8188,0.8362,0.8469,0.8691,0.8667,0.8708,0.885
CIFAR-10,1\%,0.3473,0.3714,0.3724,0.3658,0.3626,0.4095,0.4061
,10\%,0.675,0.6856,0.6843,0.6717,0.6739,0.6799,0.6693
,20\%,0.7696,0.7669,0.7686,0.7653,0.7591,0.7592,0.7428
CIFAR-100,1\%,0.0671,0.066,0.0784,0.0792,0.1826,0.2045,0.1859
,10\%,0.261,0.2764,0.2851,0.3459,0.4465,0.2958,0.4199
,20\%,0.3694,0.3889,0.396,0.4056,0.5282,0.4792,0.5479
SVHN,1\%,0.3401,0.3905,0.4096,0.4104,0.4082,0.6798,0.6773
,10\%,0.8197,0.8206,0.8287,0.8422,0.8291,0.8376,0.8668
,20\%,0.8637,0.8637,0.8688,0.8696,0.9065,0.8765,0.8943
